id,nazev,typ,adresa1,adresa2,adresa3,PSC,obec,kraj,obor_kod,obor_nazev,obor_forma,obor_delka,obor_kapacita,okres
110009878,Střední škola,C00,Albertova 4261/25a,767 01 Kroměříž,767 01 Kroměříž,767 01,Kroměříž,Zlínský kraj,5341M01,Zdravotnický asistent,10,40,220,Kroměříž
108021041,Střední škola,C00,nám. T. G. Masaryka 2433,767 01 Zlín,767 01 Zlín,767 01,Zlín,Zlínský kraj,6341M01,Ekonomika a podnikání,10,40,355,Zlín
110022971,Střední škola,C00,Vsetínská 454/53,757 01 Valašské Meziříčí,757 01 Valašské Meziříčí,757 01,Valašské Meziříčí,Zlínský kraj,1820M01,Informační technologie,10,40,60,Vsetín
108040909,Střední škola,C00,Nad Ovčírnou IV 2528,760 01 Zlín,760 01 Zlín,760 01,Zlín,Zlínský kraj,1820M01,Informační technologie,10,40,100,Zlín
110500326,Střední škola,C00,Masarykova 101,763 26 Luhačovice,763 26 Luhačovice,763 26,Luhačovice,Zlínský kraj,6341M01,Ekonomika a podnikání,10,40,120,Zlín
130002542,Střední škola,C00,Vlčnovská 688,688 01 Uherský Brod,688 01 Uherský Brod,688 01,Uherský Brod,Zlínský kraj,2345L01,Mechanik seřizovač,10,40,120,Uherské Hradiště
150008023,Střední škola,C00,Na Záhonech 1177,686 04 Kunovice,686 04 Kunovice,686 04,Kunovice,Zlínský kraj,2345L009,Letecký mechanik,10,40,120,Uherské Hradiště
150067241,Střední škola,C00,č.ev. 1,687 06 Velehrad,687 06 Velehrad,687 06,Velehrad,Zlínský kraj,7941K401,Gymnázium - všeobecné,10,40,300,Uherské Hradiště
200000055,Střední škola,C00,Zlínská 991,769 01 Holešov,769 01 Holešov,769 01,Holešov,Zlínský kraj,6842M01,Bezpečnostně právní činnost,10,40,neuvádí se,Kroměříž
181044684,Střední škola,C00,Filmová 174,Kudlov,760 01 Zlín,760 01,Zlín,Zlínský kraj,8241M17,Multimediální tvorba,10,40,200,Zlín
