id,nazev,typ,adresa1,adresa2,adresa3,obec,kraj,obor_kod,obor_nazev,obor_forma,obor_delka,obor_kapacita,okres
048134023,Střední škola,C00,K Sídlišti 840/2,Podolí,140 00 Praha 4,Praha 4,Hlavní město Praha,6843M01,Veřejnosprávní činnost,10,40,130,Praha 4
110001621,Střední škola,C00,Michelská 22/12,Michle,140 00 Praha 4,Praha 4,Hlavní město Praha,6843M01,Veřejnosprávní činnost,10,40,365,Praha 4
045247226,Střední škola,C00,Hrusická 2537/7,Záběhlice,141 00 Praha 4,Praha 4,Hlavní město Praha,7541M01,Sociální činnost,10,40,240,Praha 4
061385271,Střední škola,C00,Na Zatlance 1330/11,Smíchov,150 00 Praha 5,Praha 5,Hlavní město Praha,7941K41,Gymnázium,10,40,520,Praha 5
061384992,Střední škola,C00,Loučanská 520/1,Radotín,153 00 Praha 5,Praha 5,Hlavní město Praha,7941K41,Gymnázium,10,40,250,Praha 5
061385701,Střední škola,C00,Zborovská 621/45,Malá Strana,150 00 Praha 5,Praha 5,Hlavní město Praha,7941K41,Gymnázium,10,40,170,Praha 5
061386855,Střední škola,C00,Preslova 72/25,Smíchov,150 00 Praha 5,Praha 5,Hlavní město Praha,1820M01,Informační technologie,10,40,650,Praha 5
110011295,Střední škola,C00,Radlická 591/115,Jinonice,158 00 Praha 5,Praha 5,Hlavní město Praha,6542M01,Hotelnictví,10,40,600,Praha 5
110001885,Střední škola,C00,Plzeňská 298/217a,Motol,150 00 Praha 5,Praha 5,Hlavní město Praha,1820M01,Informační technologie,10,40,240,Praha 5
110007701,Střední škola,C00,Laudova 1024/10,Řepy,163 00 Praha 6,Praha 6,Hlavní město Praha,6341M02,Obchodní akademie,10,40,200,Praha 6
045248001,Střední škola,C00,Drtinova 498/3,Smíchov,150 00 Praha 5,Praha 5,Hlavní město Praha,6843M01,Veřejnosprávní činnost,10,40,370,Praha 5
061386022,Střední škola,C00,Arabská 682/14,Vokovice,160 00 Praha 6,Praha 6,Hlavní město Praha,7941K41,Gymnázium,10,40,670,Praha 6
061388246,Střední škola,C00,Parléřova 118/2,Hradčany,169 00 Praha 6,Praha 6,Hlavní město Praha,7941K41,Gymnázium,10,40,390,Praha 6
061384534,Střední škola,C00,Krupkovo náměstí 26/4,Bubeneč,160 00 Praha 6,Praha 6,Hlavní město Praha,6341M02,Obchodní akademie,10,40,490,Praha 6
049625446,Střední škola,C00,Nad Alejí 1952/5,Břevnov,162 00 Praha 6,Praha 6,Hlavní město Praha,7941K41,Gymnázium,10,40,130,Praha 6
000639494,Střední škola,C00,K letišti 278/4a,Ruzyně,161 00 Praha 6,Praha 6,Hlavní město Praha,2345L02,Letecký mechanik,10,40,120,Praha 6
060447109,Střední škola,C00,Vinořská 163/17,Satalice,190 15 Praha 9,Praha 9,Hlavní město Praha,6341M02,Obchodní akademie,10,40,208,Praha 9
