id,nazev,typ,adresa1,adresa2,adresa3,PSC,obec,kraj,obor_kod,obor_nazev,obor_forma,obor_delka,obor_kapacita,okres
181023725,Střední škola,C00,Pod Parkem 2788/2,Severní Terasa,400 11 Ústí nad Labem,400 11,Ústí nad Labem,Liberecký kraj,7862C01,Praktická škola jednoletá,10,10,30,Ústí nad Labem
110027752,Střední škola,C00,Vítězství 70,Děčín XXXII-Boletice nad Labem,407 11 Děčín,407 11,Děčín,Liberecký kraj,366700,Stavební práce,10,20,80,Děčín
108043827,Střední škola,C00,č.p. 1,411 15 Dlažkovice,411 15 Dlažkovice,411 15,Dlažkovice,Liberecký kraj,7862C002,Praktická škola dvouletá,10,20,30,Litoměřice
110033809,Střední škola,C00,Buškovice 203,441 01 Podbořany,441 01 Podbořany,441 01,Podbořany,Liberecký kraj,36640,Tesařské práce,10,30,36,Louny
110020634,Střední škola,C00,Požárnická 168,417 54 Kostomlaty pod Milešovkou,417 54 Kostomlaty pod Milešovkou,417 54,Kostomlaty pod Milešovkou,Liberecký kraj,655100,Práce ve stravování,10,20,21,Teplice
47274701,Střední škola,C00,Komenského 288,407 21 Česká Kamenice,407 21 Česká Kamenice,407 21,Česká Kamenice,Liberecký kraj,7941K81,Gymnázium,10,80,240,Děčín
40230457,Střední škola,C00,Mostecká 309,431 11 Jirkov,431 11 Jirkov,431 11,Jirkov,Liberecký kraj,7941K41,Gymnázium,10,40,100,Chomutov
181015692,Střední škola,C00,Karla Čapka 270,Maršov,417 42 Krupka,417 42,Krupka,Liberecký kraj,28570,Keramická výroba,10,30,51,Teplice
110027795,Střední škola,C00,Dělnická 825/15,Děčín VI-Letná,405 02 Děčín,405 02,Děčín,Liberecký kraj,2345L01,Mechanik seřizovač,10,40,96,Děčín
556807,Střední škola,C00,Ruská 147/46,Děčín IV-Podmokly,405 02 Děčín,405 02,Děčín,Liberecký kraj,2368H01,Mechanik opravář motorových vozidel,10,30,145,Děčín
130002054,Střední škola,C00,Na Průhoně 4800,430 03 Chomutov,430 03 Chomutov,430 03,Chomutov,Liberecký kraj,2351H01,Strojní mechanik,10,30,102,Chomutov
14451042,Střední škola,C00,Osvoboditelů 380,440 01 Louny,440 01 Louny,440 01,Louny,Liberecký kraj,2341M01,Strojírenství,10,40,120,Louny
108006891,Střední škola,C00,Dělnická 21,Velebudice,434 01 Most,434 01,Most,Liberecký kraj,2345L01,Mechanik seřizovač,10,40,120,Most
130002241,Střední škola,C00,Mládežnická 236,Hamr,435 42 Litvínov,435 42,Litvínov,Liberecký kraj,3158H01,Krejčí,10,30,72,Most
102000638,Střední škola,C00,Benešovo náměstí 604/1,415 01 Teplice,415 01 Teplice,415 01,Teplice,Liberecký kraj,1820M01,Informační technologie,10,40,250,Teplice
130001767,Střední škola,C00,Čelakovského 250/5,Krásné Březno,400 07 Ústí nad Labem,400 07,Ústí nad Labem,Liberecký kraj,2345L01,Mechanik seřizovač,10,40,100,Ústí nad Labem
110150414,Střední škola,C00,Neklanova 1806,413 01 Roudnice nad Labem,413 01 Roudnice nad Labem,413 01,Roudnice nad Labem,Liberecký kraj,2343L51,Provozní technika,10,20,60,Litoměřice
110150511,Střední škola,C00,Šaldova 657/6,Předměstí,412 01 Litoměřice,412 01,Litoměřice,Liberecký kraj,7862C02,Praktická škola dvouletá,10,20,60,Litoměřice
150002785,Střední škola,C00,č.p. 66,431 58 Místo,431 58 Místo,431 58,Místo,Liberecký kraj,415200,Zahradnická výroba,10,20,24,Chomutov
181007282,Střední škola,C00,Aloise Jiráska 1887/3,434 01 Most,434 01 Most,434 01,Most,Liberecký kraj,6441L51,Podnikání,30,30,120,Most
181068281,Střední škola,C00,č.p. 166,439 05 Panenský Týnec,439 05 Panenský Týnec,439 05,Panenský Týnec,Liberecký kraj,33580,Zpracovatel přírodních pletiv,10,30,40,Louny
181075849,Střední škola,C00,Říční 1774,407 47 Varnsdorf,407 47 Varnsdorf,407 47,Varnsdorf,Liberecký kraj,2155H01,Slévač,10,30,24,Děčín
181118891,Střední škola,C00,Ukrajinská 453,Horní Litvínov,436 01 Litvínov,436 01,Litvínov,Liberecký kraj,2341M01,Strojírenství,10,40,80,Most
