;id;nazev;typ;adresa1;adresa2;adresa3;PSC;obec;kraj;obor_kod;obor_nazev;obor_forma;obor_delka;obor_kapacita;okres;kod_okresu_a;kod_okresu_b;nazev_ulice;cislo_popisne;Zeměpisná šířka;Zeměpisná délka;kategorie
19;72966;Střední škola;C00;Husova 156;Jindřichův Hradec II;377 01 Jindřichův Hradec;37701.0;Jindřichův Hradec;Jihočeský kraj;6341M004;Obchodní akademie;10;40;130.0;Jindřichův Hradec;CZ0313;40304;Husova;156;49.147316;15.000689;obchodní akademie a veřejnosprávní činnost
20;102403562;Střední škola;C00;B. Němcové 213;Dačice V;380 01 Dačice;38001.0;Dačice;Jihočeský kraj;7941K401;Gymnázium - všeobecné;10;40;120.0;Jindřichův Hradec;CZ0313;40304;B. Němcové;213;49.083139;15.428631;gymnázium
21;102675511;Střední škola;C00;Táboritská 688;Třeboň II;379 01 Třeboň;37901.0;Třeboň;Jihočeský kraj;1601M004;Ekologie a ochrana krajiny;10;40;120.0;Jindřichův Hradec;CZ0313;40304;Táboritská;688;49.009585;14.75792;odborné vzdělání s maturitou
22;108054136;Střední škola;C00;Budějovická 100/11;Budějovické Předměstí;397 01 Písek;39701.0;Písek;Jihočeský kraj;8241M007;Propagační výtvarnictví - propagační grafika;10;40;160.0;Písek;CZ0314;40312;Budějovická;100/11;49.305638;14.152194;odborné vzdělání s maturitou
23;108054063;Střední škola;C00;Masarykova 183;399 01 Milevsko;399 01 Milevsko;39901.0;Milevsko;Jihočeský kraj;7941K401;Gymnázium - všeobecné;10;40;132.0;Písek;CZ0314;40312;Masarykova;183;49.453037;14.362182;gymnázium
24;108054071;Střední škola;C00;Komenského 89/20;Budějovické Předměstí;397 01 Písek;39701.0;Písek;Jihočeský kraj;7941K401;Gymnázium - všeobecné;10;40;290.0;Písek;CZ0314;40312;Komenského;89/20;49.306702;14.151325;gymnázium
25;108054101;Střední škola;C00;Čelakovského 200/5;Pražské Předměstí;397 01 Písek;39701.0;Písek;Jihočeský kraj;1601M004;Ekologie a ochrana krajiny;10;40;125.0;Písek;CZ0314;40312;Čelakovského;200/5;49.310657;14.139498;odborné vzdělání s maturitou
26;108054098;Střední škola;C00;Čelakovského 200/5;Pražské Předměstí;397 01 Písek;39701.0;Písek;Jihočeský kraj;6341M004;Obchodní akademie;10;40;360.0;Písek;CZ0314;40312;Čelakovského;200/5;49.310657;14.139498;obchodní akademie a veřejnosprávní činnost
27;60096136;Střední škola;C00;Zlatá stezka 137;Prachatice II;383 01 Prachatice;38301.0;Prachatice;Jihočeský kraj;7941K401;Gymnázium - všeobecné;10;40;136.0;Prachatice;CZ0315;40321;Zlatá stezka;137;49.009991;13.99678;gymnázium
28;108004481;Střední škola;C00;Pivovarská 69/36;Vimperk I;385 01 Vimperk;38501.0;Vimperk;Jihočeský kraj;7941K41;Gymnázium;10;40;120.0;Prachatice;CZ0315;40321;Pivovarská;69/36;49.053406;13.772347;gymnázium
