id,nazev,typ,adresa1,adresa2,adresa3,PSC,obec,kraj,obor_kod,obor_nazev,obor_forma,obor_delka,obor_kapacita,okres
107840359,Střední škola,C00,nám. Osvobození 32,331 41 Kralovice,331 41 Kralovice,331 41,Kralovice,Plzeňský kraj,2368H01,Mechanik opravář motorových vozidel,10,30,90,Plzeň-sever
000479322,Střední škola,C00,Mládežníků 1115,Nové Město,337 01 Rokycany,337 01,Rokycany,Plzeňský kraj,1820M01,Informační technologie,10,40,120,Rokycany
018242171,Střední škola,C00,Jeřabinová 96,Plzeňské Předměstí,337 01 Rokycany,337 01,Rokycany,Plzeňský kraj,2343L51,Provozní technika,10,20,60,Rokycany
102100675,Střední škola,C00,Soběslavova 1426,349 01 Stříbro,349 01 Stříbro,349 01,Stříbro,Plzeňský kraj,6341M02,Obchodní akademie,10,40,132,Tachov
000479021,Střední škola,C00,Pionýrská 1370,347 01 Tachov,347 01 Tachov,347 01,Tachov,Plzeňský kraj,7941K61,Gymnázium,10,60,360,Tachov
110017501,Střední škola,C00,Plzeňská 231,348 02 Bor,348 02 Bor,348 02,Bor,Plzeňský kraj,2351E01,Strojírenské práce,10,30,36,Tachov
048326437,Střední škola,C00,Kostelní 129,348 15 Planá,348 15 Planá,348 15,Planá,Plzeňský kraj,2659H01,Spojový mechanik,10,30,36,Tachov
000077348,Střední škola,C00,Benešova 508,349 01 Stříbro,349 01 Stříbro,349 01,Stříbro,Plzeňský kraj,1820M01,Informační technologie,10,40,120,Tachov
110030966,Střední škola,C00,Karlovarská 1210/99,Bolevec,323 00 Plzeň,323 00,Plzeň,Plzeňský kraj,5341H01,Ošetřovatel,10,30,120,Plzeň-město
000574961,Střední škola,C00,K terénu 64,Plzeňské Předměstí,346 01 Horšovský Týn,346 01,Horšovský Týn,Plzeňský kraj,2951E01,Potravinářská výroba,10,30,24,Domažlice
