,id,nazev,typ,adresa1,adresa2,adresa3,PSC,obec,kraj,obor_kod,obor_nazev,obor_forma,obor_delka,obor_kapacita,okres,kod_okresu_a,kod_okresu_b
0,60076135,Střední škola,C00,Fráni Šrámka 1193/23,České Budějovice 3,370 01 České Budějovice,370 01,České Budějovice,Jihočeský kraj,7941K401,Gymnázium - všeobecné,10,40,297.0,České Budějovice,CZ0311,40282
1,60076101,Střední škola,C00,Jírovcova 1788/8,České Budějovice 3,370 01 České Budějovice,370 01,České Budějovice,Jihočeský kraj,7941K401,Gymnázium - všeobecné,10,40,255.0,České Budějovice,CZ0311,40282
2,60076062,Střední škola,C00,Čihovice 13,Hněvkovice na levém břehu Vltavy,375 01 Týn nad Vltavou,375 01,Týn nad Vltavou,Jihočeský kraj,7941K401,Gymnázium - všeobecné,10,40,30.0,České Budějovice,CZ0311,40282
3,62534408,Střední škola,C00,Školní 995,374 01 Trhové Sviny,374 01 Trhové Sviny,374 01,Trhové Sviny,Jihočeský kraj,7941K401,Gymnázium - všeobecné,10,40,85.0,České Budějovice,CZ0311,40282
4,60076046,Střední škola,C00,Husova tř. 1849/1,České Budějovice 3,370 01 České Budějovice,370 01,České Budějovice,Jihočeský kraj,6341M004,Obchodní akademie,10,40,480.0,České Budějovice,CZ0311,40282
5,582298,Střední škola,C00,Školní 709,374 01 Trhové Sviny,374 01 Trhové Sviny,374 01,Trhové Sviny,Jihočeský kraj,2651H02,Elektrikář - silnoproud,10,30,45.0,České Budějovice,CZ0311,40282
6,666122,Střední škola,C00,Jirsíkova 420/5,České Budějovice 1,370 01 České Budějovice,370 01,České Budějovice,Jihočeský kraj,7941K41,Gymnázium,10,40,180.0,České Budějovice,CZ0311,40282
7,45019517,Střední škola,C00,Třebízského 1010/9,České Budějovice 5,370 06 České Budějovice,370 06,České Budějovice,Jihočeský kraj,7941K401,Gymnázium - všeobecné,10,40,150.0,České Budějovice,CZ0311,40282
8,60074302,Střední škola,C00,Pražská tř. 2532/54A,České Budějovice 3,370 04 České Budějovice,370 04,České Budějovice,Jihočeský kraj,7941K401,Gymnázium - všeobecné,10,40,110.0,České Budějovice,CZ0311,40282
9,60074281,Střední škola,C00,Žižkova tř. 250/4,České Budějovice 6,370 01 České Budějovice,370 01,České Budějovice,Jihočeský kraj,1820M01,Informační technologie,10,40,100.0,České Budějovice,CZ0311,40282
