,Unnamed: 0,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost,cas_cesty
16,733,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,130002097,Ledeč nad Sázavou,49.694513,15.278836,20.053882384013416,1672
17,734,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,102018006,Havlíčkův Brod,49.602624,15.579104,18.076881158824605,1583
18,735,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,102006954,Chotěboř,49.718219,15.671713,10.88040642020922,1401
19,753,CZ0631,568996.0,Leškovice,83.0,49.7628948,15.5370044,110030559,Havlíčkův Brod,49.609529,15.575103,17.272368490745666,1445
20,1194,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,60103345,Chrudim,49.949514,15.798912,22.01705049891299,2239
21,1195,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,60103337,Chrudim,49.950331,15.783494,21.82173652162165,2457
22,1196,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,110020405,Chrudim,49.945584,15.790482,21.433224248293232,2288
23,1197,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,15052591,Chrudim,49.951105,15.780225,21.852497878695967,2453
24,1198,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,61222402,Pardubice,50.02555,15.769299,29.86524676841591,2648
25,1226,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,110009754,Chrudim,49.95449,15.791908,22.416555636800343,2260
26,1228,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,13582259,Chrudim,49.955997,15.782784,22.42357025521243,2428
27,1230,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,60103361,Chrudim,49.955097,15.792727,22.49672190350369,2228
28,1232,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,110100859,Skuteč,49.840165,15.993545,22.05248037394691,2328
29,1420,CZ0631,548481.0,Lány,52.0,49.759435,15.712896,61924041,Čáslav,49.912598,15.392054,28.62731370332133,2292
