,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost
2347,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,108047750,Telč,49.182964,15.44864,29.601310625075214
2348,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,108047920,Jihlava,49.397335,15.583685,20.66953970377678
2349,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,108047792,Jihlava,49.398965,15.586577,20.599304298175785
2350,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,108047938,Jihlava,49.39907,15.590673,20.36331169640521
2351,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,44065663,Třebíč,49.213896,15.885973,10.0239518703998
2352,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,44065485,Moravské Budějovice,49.050817,15.814281,26.937950070838127
2353,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,559237,Třebíč,49.213958,15.88156,9.868517866327018
2354,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,566900,Třebíč,49.222974,15.867134,8.513391770061853
2355,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,55069,Moravské Budějovice,49.053348,15.807336,26.669022758867463
2357,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,102943508,Velké Meziříčí,49.351674,16.020545,15.938393496537893
2365,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,108047946,Jihlava,49.386967,15.593135,19.465861884038556
2366,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,110250591,Třebíč,49.224915,15.891465,9.186437104680214
2367,CZ0634,590452.0,Čechtín,313.0,49.2930479,15.8198712,110250842,Velká Bíteš,49.291349,16.222598,29.206973228955782
2824,CZ0632,587451.0,Lhotka,99.0,49.5821811,16.0028734,401048,Polička,49.712635,16.267944,23.971537977118654
