PSC,obec,okres
281 44,Drahobudice,Kolín
411 45,Drahobuz,Litoměřice
438 01,Lipno,Louny
441 01,Lubenec,Louny
389 01,Drahonice,Strakonice
592 61,Drahonín,Brno-venkov
394 70,Těmice,Pelhřimov
511 01,Vyskeř,Semily
338 08,Drahoňův Újezd,Rokycany
507 32,Kopidlno,Jičín
534 01,Rokytno,Pardubice
373 41,Drahotěšice,České Budějovice
538 25,Nasavrky,Chrudim
294 13,Chocnějovice,Mladá Boleslav
345 22,Drahotín,Domažlice
753 61,Hranice,Přerov
270 33,Drahouš,Rakovník
378 21,Drahov,Tábor
391 81,Drahov,Tábor
360 01,Karlovy Vary,Karlovy Vary
417 02,Dubí,Teplice
261 01,Drásov,Příbram
664 24,Drásov,Brno-venkov
666 01,Drásov,Brno-venkov
250 67,Klecany,Praha-východ
472 01,Dubá,Česká Lípa
386 01,Strakonice,Strakonice
331 01,Dražeň,Plzeň-sever
344 01,Draženov,Domažlice
262 15,Borotice,Příbram
262 03,Borotice,Příbram
375 01,Dražíč,České Budějovice
391 31,Dražice,Tábor
294 71,Benátky nad Jizerou,Mladá Boleslav
391 75,Dražičky,Tábor
264 01,Nechvalice,Příbram
533 04,Sezemice,Pardubice
262 56,Svatý Jan,Příbram
533 33,Pardubice,Pardubice
360 01,Stanovice,Karlovy Vary
384 73,Drážov,Strakonice
387 19,Drážov,Strakonice
342 01,Dražovice,Klatovy
683 01,Dražovice,Vyškov
696 33,Dražůvky,Hodonín
274 01,Dřínov,Kladno
472 01,Chlum,Česká Lípa
411 15,Třebívlice,Litoměřice
350 02,Cheb,Cheb
537 01,Dřenice,Chrudim
387 19,Dřešín,Strakonice
387 19,Dřešín,Strakonice
273 42,Dřetovice,Kladno
411 15,Třebívlice,Litoměřice
472 01,Dubá,Česká Lípa
250 01,Dřevčice,Praha-východ
331 41,Kožlany,Plzeň-sever
507 13,Dřevěnice,Jičín
539 73,Tisovec,Chrudim
539 01,Vysočina,Chrudim
263 01,Drevníky,Příbram
798 26,Dřevnovice,Prostějov
751 14,Dřevohostice,Přerov
294 02,Kněžmost,Mladá Boleslav
263 01,Drevníky,Příbram
391 31,Drhovice,Tábor
397 01,Drhovle,Písek
397 01,Drhovle,Písek
263 01,Drhovy,Příbram
273 71,Dřínov,Kladno
768 33,Dřínov,Kroměříž
277 45,Dřínov,Mělník
277 14,Dřísy,Praha-východ
533 05,Dříteč,Pardubice
373 51,Dříteň,České Budějovice
431 11,Vysoká Pec,Chomutov
353 01,Drmoul,Cheb
273 77,Drnek,Kladno
691 83,Drnholec,Břeclav
274 01,Žižice,Kladno
471 54,Cvikov,Česká Lípa
683 04,Drnovice,Vyškov
679 76,Drnovice,Blansko
763 25,Drnovice,Zlín
286 01,Drobovice,Kutná Hora
341 42,Velhartice,Klatovy
386 01,Droužetice,Strakonice
431 44,Droužkovice,Chomutov
530 02,Pardubice,Pardubice
533 01,Pardubice,Pardubice
779 00,Olomouc,Olomouc
267 61,Drozdov,Beroun
789 01,Drozdov,Šumperk
339 01,Klatovy,Klatovy
383 01,Drslavice,Prachatice
687 33,Drslavice,Uherské Hradiště
262 31,Pečice,Příbram
506 01,Samšina,Jičín
286 01,Chotusice,Kutná Hora
582 91,Druhanov,Havlíčkův Brod
263 01,Daleké Dušníky,Příbram
378 21,Drunče,Jindřichův Hradec
463 52,Osečná,Liberec
273 62,Družec,Kladno
330 07,Druztová,Plzeň-sever
679 36,Vanovice,Blansko
683 21,Drysice,Vyškov
468 24,Držkov,Jablonec nad Nisou
763 19,Držková,Zlín
399 01,Přeštěnice,Písek
397 01,Vojníkov,Písek
411 45,Úštěk,Litoměřice
796 07,Držovice,Prostějov
384 25,Dub,Prachatice
258 01,Kondrac,Benešov
503 15,Mžany,Hradec Králové
391 43,Ratibořské Hory,Tábor
741 01,Starý Jičín,Nový Jičín
251 69,Velké Popovice,Praha-východ
471 41,Dubá,Česká Lípa
530 02,Dubany,Pardubice
410 02,Libochovice,Litoměřice
798 12,Vrbátky,Prostějov
783 22,Dubčany,Olomouc
438 01,Liběšice,Louny
348 06,Třemešné,Tachov
511 01,Mírová pod Kozákovem,Semily
289 02,Kněžice,Nymburk
257 63,Trhový Štěpánov,Benešov
261 01,Dubenec,Příbram
373 48,Dívčice,České Budějovice
544 55,Dubenec,Trutnov
517 41,Tutleky,Rychnov nad Kněžnou
582 55,Herálec,Havlíčkův Brod
417 02,Dubí,Teplice
272 01,Kladno,Kladno
272 03,Kladno,Kladno
273 09,Kladno,Kladno
417 01,Dubí,Teplice
470 01,Česká Lípa,Česká Lípa
400 02,Řehlovice,Ústí nad Labem
789 72,Dubicko,Šumperk
411 45,Úštěk,Litoměřice
373 71,Dubičné,České Budějovice
370 06,Dubičné,České Budějovice
397 01,Drhovle,Písek
362 72,Šemnice,Karlovy Vary
700 30,Ostrava,Ostrava-město
391 43,Mladá Vožice,Tábor
285 22,Zruč nad Sázavou,Kutná Hora
251 69,Velké Popovice,Praha-východ
264 01,Radíč,Příbram
262 51,Dublovice,Příbram
783 75,Dub nad Moravou,Olomouc
696 03,Dubňany,Hodonín
373 84,Dubné,České Budějovice
794 01,Lichnov,Bruntál
471 26,Dubnice,Česká Lípa
261 01,Dubno,Příbram
538 25,Miřetice,Chrudim
381 01,Přídolí,Český Krumlov
340 21,Janovice nad Úhlavou,Klatovy
393 01,Dubovice,Pelhřimov
383 01,Žernovice,Prachatice
258 01,Psáře,Benešov
257 56,Neveklov,Benešov
384 22,Dub,Prachatice
257 22,Přestavlky u Čerčan,Benešov
257 23,Přestavlky u Čerčan,Benešov
419 01,Duchcov,Teplice
270 54,Přerubenice,Rakovník
588 05,Dudín,Jihlava
391 75,Skrýchov u Malšic,Tábor
675 56,Dukovany,Třebíč
675 50,Dukovany,Třebíč
395 01,Důl,Pelhřimov
388 01,Sedlice,Strakonice
379 01,Dunajovice,Jindřichův Hradec
257 44,Netvořice,Benešov
257 68,Dunice,Benešov
389 01,Cehnice,Strakonice
257 89,Heřmaničky,Benešov
588 05,Dušejov,Jihlava
277 42,Obříství,Mělník
413 01,Dušníky,Litoměřice
277 44,Všestudy,Mělník
538 62,Dvakačovice,Chrudim
441 01,Nepomyšl,Louny
392 01,Tučapy,Tábor
506 01,Jičín,Jičín
793 68,Dvorce,Bruntál
289 22,Lysá nad Labem,Nymburk
257 91,Sedlec-Prčice,Příbram
580 01,Kyjov,Havlíčkův Brod
378 02,Stráž nad Nežárkou,Jindřichův Hradec
588 51,Dvorce,Jihlava
588 05,Dvorce,Jihlava
383 01,Dub,Prachatice
364 53,Chyše,Karlovy Vary
335 03,Nepomuk,Plzeň-jih
373 12,Borovany,České Budějovice
384 81,Radhostice,Prachatice
383 01,Radhostice,Prachatice
377 01,Blažejov,Jindřichův Hradec
285 22,Bohdaneč,Kutná Hora
357 51,Kynšperk nad Ohří,Sokolov
351 34,Třebeň,Cheb
798 57,Laškov,Prostějov
747 21,Kravaře,Opava
565 01,Choceň,Ústí nad Orlicí
539 44,Leština,Ústí nad Orlicí
289 02,Chroustov,Nymburk
593 01,Bystřice nad Pernštejnem,Žďár nad Sázavou
394 93,Mnich,Pelhřimov
394 70,Mnich,Pelhřimov
620 00,Brno,Brno-město
471 06,Horní Police,Česká Lípa
357 33,Loket,Sokolov
288 02,Dvory,Nymburk
383 01,Dvory,Prachatice
360 06,Karlovy Vary,Karlovy Vary
378 08,Dvory nad Lužnicí,Jindřichův Hradec
544 01,Dvůr Králové nad Labem,Trutnov
398 43,Bernartice,Písek
257 53,Olbramovice,Benešov
671 26,Dyjákovice,Znojmo
669 02,Dyjákovičky,Znojmo
669 02,Dyje,Znojmo
588 56,Dyjice,Jihlava
588 62,Dyjice,Jihlava
289 01,Dymokury,Nymburk
373 64,Dynín,České Budějovice
330 02,Dýšina,Plzeň-město
671 71,Džbánice,Znojmo
566 01,Džbánov,Ústí nad Orlicí
566 01,Voděrady,Ústí nad Orlicí
798 53,Dzbel,Prostějov
795 01,Rýmařov,Bruntál
337 01,Ejpovice,Rokycany
391 43,Běleč,Tábor
742 35,Vražné,Nový Jičín
411 45,Polepy,Litoměřice
345 25,Mutěnín,Domažlice
349 01,Erpužice,Tachov
395 01,Eš,Pelhřimov
410 02,Evaň,Litoměřice
407 45,Kytlice,Děčín
268 01,Felbabka,Beroun
463 62,Hejnice,Liberec
463 31,Oldřichov v Hájích,Liberec
407 53,Jiříkov,Děčín
286 01,Čáslav,Kutná Hora
405 02,Česká Kamenice,Děčín
539 01,Kameničky,Chrudim
788 11,Loučná nad Desnou,Šumperk
344 01,Tlumačov,Domažlice
341 92,Modrava,Klatovy
747 84,Hradec nad Moravicí,Opava
790 01,Bělá pod Pradědem,Jeseník
463 73,Višňová,Liberec
436 01,Český Jiřetín,Most
340 22,Chudenín,Klatovy
463 31,Mníšek,Liberec
362 25,Nejdek,Karlovy Vary
417 41,Krupka,Teplice
405 02,Heřmanov,Děčín
405 02,Děčín,Děčín
543 72,Černý Důl,Trutnov
379 01,Frahelž,Jindřichův Hradec
534 01,Trusnov,Pardubice
756 14,Francova Lhota,Vsetín
594 01,Stránecká Zhoř,Žďár nad Sázavou
385 01,Kvilda,Prachatice
391 43,Smilovy Hory,Tábor
346 01,Blížejov,Domažlice
285 04,Úžice,Kutná Hora
512 45,Rokytnice nad Jizerou,Semily
378 06,Suchdol nad Lužnicí,Jindřichův Hradec
342 01,Petrovice u Sušice,Klatovy
460 10,Liberec,Liberec
407 23,Františkov nad Ploučnicí,Děčín
351 01,Františkovy Lázně,Cheb
405 02,Huntířov,Děčín
569 82,Krouna,Chrudim
383 01,Mičovice,Prachatice
744 01,Frenštát pod Radhoštěm,Nový Jičín
742 58,Fryčovice,Frýdek-Místek
739 45,Fryčovice,Frýdek-Místek
738 01,Frýdek-Místek,Frýdek-Místek
464 01,Frýdlant,Liberec
739 11,Frýdlant nad Ostravicí,Frýdek-Místek
582 82,Habry,Havlíčkův Brod
463 42,Frýdštejn,Jablonec nad Nisou
342 01,Frymburk,Klatovy
382 79,Frymburk,Český Krumlov
592 04,Fryšava pod Žákovou horou,Žďár nad Sázavou
763 16,Fryšták,Zlín
733 01,Karviná,Karviná
742 45,Fulnek,Nový Jičín
251 67,Řehenice,Benešov
394 70,Kamenice nad Lipou,Pelhřimov
570 01,Janov,Svitavy
594 42,Otín,Žďár nad Sázavou
582 82,Golčův Jeníkov,Havlíčkův Brod
463 34,Chotyně,Liberec
671 56,Grešlové Mýto,Znojmo
747 44,Březová,Opava
571 01,Gruna,Svitavy
280 02,Grunta,Kolín
783 73,Grygov,Olomouc
751 21,Grymov,Přerov
747 87,Budišov nad Budišovkou,Opava
739 55,Třinec,Frýdek-Místek
339 01,Klatovy,Klatovy
463 73,Habartice,Liberec
788 23,Jindřichov,Šumperk
357 09,Habartov,Sokolov
798 14,Olšany u Prostějova,Prostějov
584 01,Ledeč nad Sázavou,Havlíčkův Brod
373 84,Habří,České Budějovice
400 02,Řehlovice,Ústí nad Labem
592 53,Moravecké Pavlovice,Žďár nad Sázavou
411 45,Úštěk,Litoměřice
503 03,Habřina,Hradec Králové
533 41,Bukovka,Pardubice
284 01,Záboří nad Labem,Kutná Hora
330 11,Dolany,Plzeň-sever
683 01,Habrovany,Vyškov
400 02,Habrovany,Ústí nad Labem
584 01,Hněvkovice,Havlíčkův Brod
538 51,Vrbatův Kostelec,Chrudim
403 40,Ústí nad Labem,Ústí nad Labem
679 05,Habrůvka,Blansko
679 04,Habrůvka,Blansko
582 81,Habry,Havlíčkův Brod
798 55,Hačky,Prostějov
331 41,Výrov,Plzeň-sever
396 01,Čejov,Pelhřimov
340 22,Chudenín,Klatovy
378 42,Hadravova Rosička,Jindřichův Hradec
432 01,Radonice,Chomutov
396 01,Kaliště,Pelhřimov
356 01,Jindřichovice,Sokolov
431 91,Loučná pod Klínovcem,Chomutov
463 73,Habartice,Liberec
666 01,Tišnov,Brno-venkov
388 01,Hajany,Strakonice
664 43,Hajany,Brno-venkov
350 02,Cheb,Cheb
347 01,Lesná,Tachov
261 01,Háje,Příbram
334 01,Řenče,Plzeň-jih
263 01,Hřiměždice,Příbram
360 01,Kolová,Karlovy Vary
334 52,Srbice,Domažlice
391 55,Vodice,Tábor
387 73,Hájek,Strakonice
345 06,Všeruby,Domažlice
285 46,Úmonín,Kutná Hora
666 01,Tišnov,Brno-venkov
363 01,Hájek,Karlovy Vary
544 01,Vítězná,Trutnov
513 01,Háje nad Jizerou,Semily
391 61,Stádlec,Tábor
544 66,Hajnice,Trutnov
463 65,Nové Město pod Smrkem,Liberec
742 58,Příbor,Nový Jičín
386 01,Strakonice,Strakonice
417 22,Háj u Duchcova,Teplice
747 92,Háj ve Slezsku,Opava
378 06,Halámky,Jindřichův Hradec
756 03,Halenkov,Vsetín
763 63,Halenkovice,Zlín
267 27,Svinaře,Beroun
763 24,Haluzice,Zlín
347 01,Halže,Tachov
682 01,Vyškov,Vyškov
435 42,Litvínov,Most
391 81,Val,Tábor
378 06,Hamr,Jindřichův Hradec
471 28,Hamr na Jezeře,Česká Lípa
353 01,Mariánské Lázně,Cheb
340 22,Hamry,Klatovy
798 03,Plumlov,Prostějov
569 92,Bystré,Svitavy
539 01,Hamry,Chrudim
584 01,Hradec,Havlíčkův Brod
591 01,Hamry nad Sázavou,Žďár nad Sázavou
468 22,Koberovy,Jablonec nad Nisou
349 53,Lestkov,Tachov
398 43,Zběšičky,Písek
783 21,Haňovice,Olomouc
363 01,Ostrov,Karlovy Vary
788 33,Hanušovice,Šumperk
468 46,Plavy,Jablonec nad Nisou
583 01,Bezděkov,Havlíčkův Brod
795 01,Rýmařov,Bruntál
407 47,Šluknov,Děčín
512 46,Harrachov,Jablonec nad Nisou
569 43,Hartinkov,Svitavy
342 01,Hartmanice,Klatovy
569 92,Hartmanice,Svitavy
373 65,Hartmanice,České Budějovice
350 02,Nebanice,Cheb
382 41,Benešov nad Černou,Český Krumlov
391 55,Dolní Hořice,Tábor
675 76,Hartvíkovice,Třebíč
289 34,Rožďalovice,Nymburk
391 65,Haškovcova Lhota,Tábor
400 02,Homole u Panny,Ústí nad Labem
381 01,Větřní,Český Krumlov
345 25,Horšovský Týn,Domažlice
747 16,Hať,Opava
267 27,Skuhrov,Beroun
281 44,Bečváry,Kolín
669 02,Chvalovice,Znojmo
377 01,Hatín,Jindřichův Hradec
391 33,Borotín,Tábor
783 96,Újezd,Olomouc
262 41,Bohutín,Příbram
582 23,Havlíčkova Borová,Havlíčkův Brod
580 01,Havlíčkův Brod,Havlíčkův Brod
538 25,Miřetice,Chrudim
344 01,Domažlice,Domažlice
463 45,Kobyly,Liberec
542 32,Havlovice,Trutnov
542 33,Havlovice,Trutnov
435 01,Havraň,Most
669 02,Havraníky,Znojmo
688 01,Uherský Brod,Uherské Hradiště
351 32,Hazlov,Cheb
331 41,Kožlany,Plzeň-sever
538 43,Třemošnice,Chrudim
779 00,Olomouc,Olomouc
381 01,Chvalšiny,Český Krumlov
391 31,Svrabov,Tábor
341 01,Hejná,Klatovy
463 62,Hejnice,Liberec
564 01,Hejnice,Ústí nad Orlicí
793 71,Holčovice,Bruntál
550 01,Hejtmánkovice,Náchod
586 01,Jihlava,Jihlava
513 01,Vysoké nad Jizerou,Semily
742 35,Luboměř,Nový Jičín
563 01,Anenská Studánka,Ústí nad Orlicí
564 01,Helvíkovice,Ústí nad Orlicí
407 47,Krásná Lípa,Děčín
565 01,Choceň,Ústí nad Orlicí
750 02,Přerov,Přerov
586 01,Jihlava,Jihlava
582 55,Herálec,Havlíčkův Brod
592 01,Herálec,Žďár nad Sázavou
675 21,Heraltice,Třebíč
382 73,Vyšší Brod,Český Krumlov
563 01,Cotkytle,Ústí nad Orlicí
251 01,Herink,Praha-východ
580 01,Havlíčkův Brod,Havlíčkův Brod
398 11,Heřmaň,Písek
582 74,Jeřišno,Havlíčkův Brod
370 06,Heřmaň,České Budějovice
370 07,Heřmaň,České Budějovice
394 64,Počátky,Pelhřimov
378 53,Heřmaneč,Jindřichův Hradec
509 01,Nová Paka,Jičín
552 12,Heřmanice,Náchod
713 00,Ostrava,Ostrava-město
470 02,Žandov,Česká Lípa
561 69,Králíky,Ústí nad Orlicí
464 01,Heřmanice,Liberec
741 01,Starý Jičín,Nový Jičín
582 82,Heřmanice,Havlíčkův Brod
742 35,Heřmanice u Oder,Nový Jičín
471 25,Jablonné v Podještědí,Liberec
257 89,Heřmaničky,Benešov
470 01,Česká Lípa,Česká Lípa
549 84,Heřmánkovice,Náchod
472 01,Dubá,Česká Lípa
742 35,Heřmánky,Nový Jičín
405 02,Heřmanov,Děčín
364 61,Teplá,Cheb
270 04,Kolešovice,Rakovník
594 58,Heřmanov,Žďár nad Sázavou
793 74,Heřmanovice,Bruntál
538 03,Heřmanův Městec,Chrudim
789 91,Štíty,Šumperk
586 01,Jihlava,Jihlava
666 01,Heroltice,Brno-venkov
682 01,Hoštice-Heroltice,Vyškov
783 07,Město Libavá,Olomouc
257 56,Neveklov,Benešov
685 01,Heršpice,Vyškov
684 01,Heršpice,Vyškov
364 71,Bochov,Karlovy Vary
747 55,Dolní Životice,Opava
541 01,Mladé Buky,Trutnov
284 01,Černíny,Kutná Hora
671 69,Hevlín,Znojmo
407 45,Kytlice,Děčín
742 47,Hladké Životice,Nový Jičín
398 11,Albrechtice nad Vltavou,Písek
588 33,Hladov,Jihlava
391 43,Hlasivo,Tábor
391 43,Hlasivo,Tábor
384 11,Olšovice,Prachatice
516 01,Liberk,Rychnov nad Kněžnou
506 01,Podhradí,Jičín
383 01,Záblatí,Prachatice
267 18,Hlásná Třebaň,Beroun
785 01,Hlásnice,Olomouc
569 92,Trpín,Svitavy
257 89,Ješetice,Benešov
391 73,Hlavatce,Tábor
373 48,Hlavatce,České Budějovice
533 15,Hlavečník,Pardubice
294 74,Hlavenec,Praha-východ
463 48,Hlavice,Liberec
588 41,Vyskytná nad Jihlavou,Jihlava
564 01,Žampach,Ústí nad Orlicí
747 52,Hlavnice,Opava
357 09,Citice,Sokolov
392 01,Budislav,Tábor
549 54,Police nad Metují,Náchod
580 01,Krásná Hora,Havlíčkův Brod
341 42,Hlavňovice,Klatovy
277 31,Lhotka,Mělník
512 44,Rokytnice nad Jizerou,Semily
345 25,Bělá nad Radbuzou,Domažlice
277 51,Nelahozeves,Mělník
277 51,Nelahozeves,Mělník
471 29,Brniště,Česká Lípa
664 91,Hlína,Brno-venkov
538 51,Horka,Chrudim
256 01,Struhařov,Benešov
400 02,Řehlovice,Ústí nad Labem
331 41,Hlince,Plzeň-sever
415 01,Kostomlaty pod Milešovkou,Teplice
373 71,Hlincová Hora,České Budějovice
364 71,Bochov,Karlovy Vary
405 02,Malšovice,Děčín
341 01,Malý Bor,Klatovy
390 02,Tábor,Tábor
384 43,Strážný,Prachatice
793 99,Hlinka,Bruntál
360 01,Stanovice,Karlovy Vary
412 01,Hlinná,Litoměřice
348 01,Tisová,Tachov
518 01,Dobré,Rychnov nad Kněžnou
592 31,Nové Město na Moravě,Žďár nad Sázavou
374 01,Horní Stropnice,České Budějovice
294 21,Bělá pod Bezdězem,Mladá Boleslav
751 31,Hlinsko,Přerov
539 01,Hlinsko,Chrudim
370 01,Rudolfov,České Budějovice
768 41,Bystřice pod Hostýnem,Kroměříž
783 91,Medlov,Olomouc
257 03,Bystřice,Benešov
285 32,Hlízov,Kutná Hora
584 01,Číhošť,Havlíčkův Brod
345 61,Hlohová,Domažlice
258 01,Zvěstov,Benešov
257 06,Zvěstov,Benešov
345 61,Hlohovčice,Domažlice
691 43,Hlohovec,Břeclav
338 08,Hlohovice,Rokycany
338 08,Hlohovice,Rokycany
284 01,Kutná Hora,Kutná Hora
441 01,Podbořany,Louny
682 01,Hlubočany,Vyškov
747 69,Hlubočec,Opava
251 68,Sulice,Praha-východ
783 61,Hlubočky,Olomouc
351 34,Milhostov,Cheb
345 06,Kdyně,Domažlice
539 73,Hluboká,Chrudim
331 65,Žihle,Plzeň-sever
264 01,Nalžovice,Příbram
378 81,Dešná,Jindřichův Hradec
566 01,Sruby,Ústí nad Orlicí
539 01,Trhová Kamenice,Chrudim
582 63,Krucemburk,Havlíčkův Brod
463 12,Liberec,Liberec
373 84,Hluboká nad Vltavou,České Budějovice
373 41,Hluboká nad Vltavou,České Budějovice
373 12,Borovany,České Budějovice
592 65,Dalečín,Žďár nad Sázavou
675 71,Hluboké,Třebíč
679 23,Hluboké Dvory,Brno-venkov
671 52,Hluboké Mašůvky,Znojmo
679 72,Kunštát,Blansko
363 01,Ostrov,Karlovy Vary
280 02,Nebovidy,Kolín
262 23,Hluboš,Příbram
262 22,Hluboš,Příbram
262 72,Hlubyně,Příbram
798 41,Hluchov,Prostějov
748 01,Hlučín,Opava
687 25,Hluk,Uherské Hradiště
518 01,Kounov,Rychnov nad Kněžnou
348 02,Bor,Tachov
411 45,Lovečkovice,Litoměřice
386 01,Hlupín,Strakonice
503 56,Hlušice,Hradec Králové
503 56,Hlušice,Hradec Králové
783 14,Hlušovice,Olomouc
753 68,Černotín,Přerov
340 34,Hnačov,Klatovy
669 02,Hnanice,Znojmo
512 63,Hrubá Skála,Semily
561 01,Hnátnice,Ústí nad Orlicí
399 01,Chyšky,Písek
382 41,Rožmitál na Šumavě,Český Krumlov
503 15,Hněvčeves,Hradec Králové
539 73,Skuteč,Chrudim
411 08,Štětí,Litoměřice
388 01,Blatná,Strakonice
789 01,Zábřeh,Šumperk
396 01,Humpolec,Pelhřimov
584 01,Hněvkovice,Havlíčkův Brod
582 94,Hněvkovice,Havlíčkův Brod
375 01,Týn nad Vltavou,České Budějovice
330 23,Hněvnice,Plzeň-sever
747 35,Hněvošice,Opava
783 47,Hněvotín,Olomouc
295 01,Mnichovo Hradiště,Mladá Boleslav
262 03,Chotilsko,Příbram
669 02,Vrbovec,Znojmo
785 01,Hnojice,Olomouc
391 75,Slapy,Tábor
440 01,Libčeves,Louny
739 53,Hnojník,Frýdek-Místek
273 21,Hobšovice,Kladno
517 21,Olešnice,Rychnov nad Kněžnou
684 01,Hodějice,Vyškov
387 16,Hoslovice,Strakonice
393 01,Pelhřimov,Pelhřimov
262 42,Sedlice,Příbram
534 01,Býšť,Pardubice
257 56,Křečovice,Benešov
391 65,Hodětín,Tábor
391 81,Hodětín,Tábor
589 01,Hodice,Jihlava
591 01,Hodíškov,Žďár nad Sázavou
391 33,Jistebnice,Tábor
264 01,Nechvalice,Příbram
285 22,Zbraslavice,Kutná Hora
252 41,Zlatníky-Hodkovice,Praha-západ
463 42,Hodkovice nad Mohelkou,Liberec
463 43,Světlá pod Ještědem,Liberec
382 26,Horní Planá,Český Krumlov
779 00,Olomouc,Olomouc
391 65,Hodonice,Tábor
671 25,Hodonice,Znojmo
384 73,Zdíkov,Prachatice
538 25,Hodonín,Chrudim
695 01,Hodonín,Hodonín
679 75,Hodonín,Blansko
739 01,Baška,Frýdek-Místek
340 22,Nýrsko,Klatovy
675 04,Hodov,Třebíč
331 01,Hvozd,Plzeň-sever
742 71,Hodslavice,Nový Jičín
391 61,Opařany,Tábor
267 27,Skuhrov,Beroun
331 41,Kožlany,Plzeň-sever
396 01,Hojanovice,Pelhřimov
395 01,Lidmaň,Pelhřimov
538 07,Seč,Chrudim
588 05,Hojkov,Jihlava
396 01,Mladé Bříště,Pelhřimov
374 01,Horní Stropnice,České Budějovice
395 01,Hojovice,Pelhřimov
257 86,Neustupov,Benešov
262 63,Svatý Jan,Příbram
262 56,Svatý Jan,Příbram
340 22,Železná Ruda,Klatovy
270 04,Hořovičky,Rakovník
470 02,Holany,Česká Lípa
664 61,Holasice,Brno-venkov
664 71,Lažánky,Brno-venkov
620 00,Brno,Brno-město
747 74,Holasovice,Opava
373 84,Jankov,České Budějovice
257 01,Postupice,Benešov
793 71,Holčovice,Bruntál
252 64,Svrkyně,Praha-západ
384 11,Malovice,Prachatice
438 01,Holedeč,Louny
438 01,Holedeč,Louny
506 01,Holenice,Semily
378 81,Cizkrajov,Jindřichův Hradec
679 02,Rájec-Jestřebí,Blansko
769 01,Holešov,Kroměříž
538 63,Chroustovice,Chrudim
438 01,Březno,Chomutov
294 46,Dobrovice,Mladá Boleslav
779 00,Olomouc,Olomouc
534 01,Holice,Pardubice
538 03,Morašice,Chrudim
379 01,Třeboň,Jindřichův Hradec
538 07,Bojanov,Chrudim
506 01,Holín,Jičín
506 01,Jičín,Jičín
382 32,Velešín,Český Krumlov
341 01,Chanovice,Klatovy
503 03,Holohlavy,Hradec Králové
286 01,Petrovice I,Kutná Hora
348 02,Bor,Tachov
535 01,Holotín,Pardubice
338 01,Holoubkov,Rokycany
273 41,Třebusice,Kladno
331 41,Holovousy,Plzeň-sever
508 01,Holovousy,Jičín
285 22,Chabeřice,Kutná Hora
679 13,Holštejn,Blansko
345 25,Hostouň,Domažlice
683 51,Holubice,Vyškov
798 03,Ptení,Prostějov
252 65,Holubice,Praha-západ
348 13,Chodová Planá,Tachov
595 01,Velká Bíteš,Žďár nad Sázavou
382 03,Holubov,Český Krumlov
373 84,Čakov,České Budějovice
388 01,Sedlice,Strakonice
396 01,Kaliště,Pelhřimov
262 72,Kozárovice,Příbram
349 01,Svojšín,Tachov
395 01,Mezilesí,Pelhřimov
345 62,Holýšov,Plzeň-jih
334 52,Holýšov,Plzeň-jih
263 01,Drhovy,Příbram
370 01,Homole,České Budějovice
517 41,Borovnice,Rychnov nad Kněžnou
400 02,Homole u Panny,Ústí nad Labem
503 15,Boharyně,Hradec Králové
538 62,Honbice,Chrudim
768 13,Honětice,Kroměříž
333 01,Honezovice,Plzeň-jih
273 03,Stochov,Kladno
295 01,Březina,Mladá Boleslav
549 54,Police nad Metují,Náchod
339 01,Běšiny,Klatovy
664 04,Mokrá-Horákov,Brno-venkov
569 04,Želivsko,Svitavy
440 01,Zbrašín,Louny
289 14,Hořany,Nymburk
284 01,Miskovice,Kutná Hora
431 82,Hora Svatého Šebestiána,Chomutov
345 22,Hora Svatého Václava,Domažlice
435 46,Hora Svaté Kateřiny,Most
289 13,Hořátev,Nymburk
341 01,Horažďovice,Klatovy
341 01,Horažďovice,Klatovy
262 72,Horčápsko,Příbram
335 61,Spálené Poříčí,Plzeň-jih
262 72,Tochovice,Příbram
387 19,Dřešín,Strakonice
342 01,Hartmanice,Klatovy
747 55,Jakartovice,Opava
344 01,Domažlice,Domažlice
342 01,Hartmanice,Klatovy
543 01,Vrchlabí,Trutnov
543 02,Vrchlabí,Trutnov
543 51,Vrchlabí,Trutnov
538 07,Bojanov,Chrudim
440 01,Libčeves,Louny
430 01,Nezabylice,Chomutov
438 01,Chbany,Chomutov
551 01,Hořenice,Náchod
463 43,Světlá pod Ještědem,Liberec
463 43,Český Dub,Liberec
277 41,Kly,Mělník
512 01,Slaná,Semily
394 21,Hořepník,Pelhřimov
270 04,Hořesedly,Rakovník
273 74,Hořešovice,Kladno
273 74,Hořešovičky,Kladno
438 01,Žiželice,Louny
257 56,Křečovice,Benešov
678 01,Blansko,Blansko
396 01,Hořice,Pelhřimov
508 01,Hořice,Jičín
335 63,Spálené Poříčí,Plzeň-jih
382 22,Hořice na Šumavě,Český Krumlov
552 05,Hořičky,Náchod
333 01,Chotěšov,Plzeň-jih
383 01,Lhenice,Prachatice
276 01,Hořín,Mělník
503 06,Hořiněves,Hradec Králové
351 34,Nový Kostel,Cheb
410 02,Evaň,Litoměřice
282 01,Přišimasy,Kolín
538 51,Horka,Chrudim
463 43,Proseč pod Ještědem,Liberec
294 01,Bakov nad Jizerou,Mladá Boleslav
674 01,Třebíč,Třebíč
286 01,Horka I,Kutná Hora
285 22,Horka II,Kutná Hora
783 35,Horka nad Moravou,Olomouc
512 34,Horka u Staré Paky,Semily
390 01,Tábor,Tábor
570 01,Horky,Svitavy
