PSC,obec,okres
430 01,Blatno,Chomutov
435 26,Bečov,Most
364 64,Bečov nad Teplou,Karlovy Vary
281 43,Bečváry,Kolín
798 21,Bedihošť,Prostějov
270 33,Jesenice,Rakovník
378 42,Bednárec,Jindřichův Hradec
378 42,Bednáreček,Jindřichův Hradec
256 01,Benešov,Benešov
395 01,Pacov,Pelhřimov
788 01,Oskava,Šumperk
679 71,Bedřichov,Blansko
468 12,Bedřichov,Jablonec nad Nisou
285 04,Nepoměřice,Kutná Hora
543 51,Špindlerův Mlýn,Trutnov
374 01,Horní Stropnice,České Budějovice
373 35,Horní Stropnice,České Budějovice
257 03,Jankov,Benešov
440 01,Hříškov,Louny
664 51,Šlapanice,Brno-venkov
460 01,Liberec,Liberec
434 01,Bělušice,Most
417 02,Dubí,Teplice
417 01,Dubí,Teplice
340 21,Běhařov,Klatovy
671 39,Běhařovice,Znojmo
538 54,Luže,Chrudim
747 23,Bělá,Opava
514 01,Bělá,Semily
384 51,Nová Pec,Prachatice
393 01,Bělá,Pelhřimov
382 41,Malonty,Český Krumlov
511 01,Mírová pod Kozákovem,Semily
790 01,Bělá pod Pradědem,Jeseník
584 01,Bělá,Havlíčkův Brod
516 01,Liberk,Rychnov nad Kněžnou
405 02,Děčín,Děčín
345 26,Bělá nad Radbuzou,Domažlice
569 05,Bělá nad Svitavou,Svitavy
294 21,Bělá pod Bezdězem,Mladá Boleslav
569 43,Bělá u Jevíčka,Svitavy
507 82,Pecka,Jičín
270 34,Šípy,Rakovník
257 24,Ostředek,Benešov
387 43,Bělčice,Strakonice
378 81,Dešná,Jindřichův Hradec
267 27,Liteň,Beroun
273 63,Běleč,Kladno
391 43,Běleč,Tábor
383 01,Těšovice,Prachatice
679 23,Běleč,Brno-venkov
534 01,Býšť,Pardubice
503 46,Běleč nad Orlicí,Hradec Králové
383 01,Těšovice,Prachatice
530 02,Slepotice,Pardubice
257 56,Neveklov,Benešov
257 44,Neveklov,Benešov
779 00,Olomouc,Olomouc
783 16,Bělkovice-Lašťany,Olomouc
263 01,Nečín,Příbram
285 06,Sázava,Benešov
273 53,Běloky,Kladno
753 64,Bělotín,Přerov
768 21,Bělov,Zlín
547 01,Náchod,Náchod
700 30,Ostrava,Ostrava-město
552 05,Brzice,Náchod
552 12,Heřmanice,Náchod
434 01,Bělušice,Most
280 02,Bělušice,Kolín
549 31,Machov,Náchod
289 23,Milovice,Nymburk
570 01,Benátky,Svitavy
285 06,Úžice,Kutná Hora
393 01,Pelhřimov,Pelhřimov
503 03,Benátky,Hradec Králové
592 42,Jimramov,Žďár nad Sázavou
582 63,Ždírec nad Doubravou,Havlíčkův Brod
294 71,Benátky nad Jizerou,Mladá Boleslav
294 71,Benátky nad Jizerou,Mladá Boleslav
294 71,Benátky nad Jizerou,Mladá Boleslav
391 43,Mladá Vožice,Tábor
512 37,Benecko,Semily
384 22,Bušanovice,Prachatice
550 01,Broumov,Náchod
256 01,Benešov,Benešov
679 53,Benešov,Blansko
394 70,Černovice,Pelhřimov
384 73,Vacov,Prachatice
535 01,Brloh,Pardubice
349 01,Benešovice,Tachov
463 48,Všelibice,Liberec
382 82,Benešov nad Černou,Český Krumlov
407 22,Benešov nad Ploučnicí,Děčín
512 06,Benešov u Semil,Semily
675 06,Benetice,Třebíč
582 91,Světlá nad Sázavou,Havlíčkův Brod
257 44,Chrášťany,Benešov
783 91,Uničov,Olomouc
789 01,Dlouhomilov,Šumperk
747 41,Hradec nad Moravicí,Opava
750 02,Beňov,Přerov
339 01,Klatovy,Klatovy
364 61,Teplá,Cheb
391 37,Chotoviny,Tábor
588 33,Suchá,Jihlava
364 61,Teplá,Cheb
790 65,Vlčice,Jeseník
262 23,Jince,Příbram
284 01,Bernardov,Kutná Hora
341 42,Kolinec,Klatovy
348 02,Stráž,Tachov
257 65,Bernartice,Benešov
790 57,Bernartice,Jeseník
398 43,Bernartice,Písek
542 04,Bernartice,Trutnov
741 01,Bernartice nad Odrou,Nový Jičín
357 09,Krajková,Sokolov
362 21,Nejdek,Karlovy Vary
364 61,Teplá,Cheb
266 01,Beroun,Beroun
266 01,Beroun,Beroun
266 01,Beroun,Beroun
266 01,Beroun,Beroun
266 01,Beroun,Beroun
266 01,Beroun,Beroun
266 01,Beroun,Beroun
273 71,Beřovice,Kladno
508 01,Šárovcova Lhota,Jičín
289 08,Běrunice,Nymburk
289 08,Běrunice,Nymburk
468 22,Koberovy,Jablonec nad Nisou
382 41,Besednice,Český Krumlov
382 81,Besednice,Český Krumlov
342 01,Žihobce,Klatovy
339 01,Běšiny,Klatovy
472 01,Blatce,Česká Lípa
439 86,Kryry,Louny
267 24,Běštín,Beroun
565 01,Běstovice,Ústí nad Orlicí
538 45,Běstvina,Chrudim
518 01,Dobruška,Rychnov nad Kněžnou
506 01,Samšina,Jičín
679 61,Velké Opatovice,Blansko
588 51,Batelov,Jihlava
395 01,Obrataň,Pelhřimov
512 51,Stružinec,Semily
293 01,Mladá Boleslav,Mladá Boleslav
463 42,Frýdštejn,Jablonec nad Nisou
391 74,Želeč,Tábor
391 75,Želeč,Tábor
569 43,Bezděčí u Trnávky,Svitavy
267 24,Hostomice,Beroun
294 25,Bělá pod Bezdězem,Mladá Boleslav
388 01,Bezdědovice,Strakonice
438 01,Žatec,Louny
783 25,Bouzov,Olomouc
340 12,Švihov,Klatovy
589 01,Pavlov,Jihlava
395 01,Lukavec,Pelhřimov
257 22,Vranov,Benešov
348 06,Třemešné,Tachov
338 24,Bezděkov,Rokycany
339 01,Bezděkov,Klatovy
399 01,Nadějkov,Tábor
364 01,Toužim,Karlovy Vary
535 01,Bezděkov,Pardubice
257 68,Loket,Benešov
335 44,Hradiště,Plzeň-jih
583 01,Bezděkov,Havlíčkův Brod
348 15,Bor,Tachov
595 01,Velká Bíteš,Žďár nad Sázavou
580 01,Krásná Hora,Havlíčkův Brod
335 01,Mileč,Plzeň-jih
549 31,Bezděkov nad Metují,Náchod
549 54,Bezděkov nad Metují,Náchod
549 64,Bezděkov nad Metují,Náchod
262 42,Bezděkov pod Třemšínem,Příbram
344 01,Domažlice,Domažlice
789 73,Úsov,Šumperk
472 01,Bezděz,Česká Lípa
349 53,Bezdružice,Tachov
257 56,Maršovice,Benešov
257 51,Maršovice,Benešov
349 52,Cebiv,Tachov
391 65,Sudoměřice u Bechyně,Tábor
669 02,Bezkov,Znojmo
767 01,Bezměrov,Kroměříž
257 53,Vojkov,Benešov
507 71,Borek,Jičín
294 29,Bezno,Mladá Boleslav
339 01,Chudenice,Klatovy
259 01,Votice,Benešov
753 54,Bezuchov,Přerov
364 61,Teplá,Cheb
330 41,Bezvěrov,Plzeň-sever
463 43,Bílá,Liberec
739 15,Bílá,Frýdek-Místek
378 33,Číměř,Jindřichův Hradec
747 28,Štěpánkovice,Opava
295 01,Bílá Hlína,Mladá Boleslav
783 21,Bílá Lhota,Olomouc
584 01,Trpišovice,Havlíčkův Brod
767 01,Kroměříž,Kroměříž
338 08,Terešov,Rokycany
571 01,Staré Město,Svitavy
544 72,Bílá Třemešná,Trutnov
561 69,Červená Voda,Ústí nad Orlicí
561 62,Červená Voda,Ústí nad Orlicí
768 41,Bystřice pod Hostýnem,Kroměříž
768 61,Bystřice pod Hostýnem,Kroměříž
793 68,Bílčice,Bruntál
583 01,Chotěboř,Havlíčkův Brod
430 01,Bílence,Chomutov
441 01,Petrohrad,Louny
342 01,Žihobce,Klatovy
285 72,Bílé Podolí,Kutná Hora
544 52,Bílé Poličany,Trutnov
530 02,Pardubice,Pardubice
530 03,Pardubice,Pardubice
530 12,Pardubice,Pardubice
347 01,Tachov,Tachov
533 16,Kladruby nad Labem,Pardubice
273 74,Bílichov,Kladno
418 01,Bílina,Teplice
398 43,Veselíčko,Písek
410 02,Velemín,Litoměřice
398 43,Bernartice,Písek
415 01,Bořislav,Teplice
380 01,Dačice,Jindřichův Hradec
257 26,Bílkovice,Benešov
331 41,Bílov,Plzeň-sever
743 01,Bílov,Nový Jičín
743 01,Bílovec,Nový Jičín
798 41,Bílovice-Lutotín,Prostějov
687 12,Bílovice,Uherské Hradiště
664 01,Bílovice nad Svitavou,Brno-venkov
783 22,Bílsko,Olomouc
507 32,Údrnice,Jičín
387 73,Bílsko,Strakonice
508 01,Bílsko u Hořic,Jičín
340 12,Měčín,Klatovy
588 41,Bílý Kámen,Jihlava
538 03,Podhořany u Ronova,Chrudim
411 45,Úštěk,Litoměřice
463 31,Bílý Kostel nad Nisou,Liberec
538 54,Střemošice,Chrudim
463 62,Bílý Potok,Liberec
790 70,Javorník,Jeseník
793 26,Vrbno pod Pradědem,Bruntál
411 31,Velemín,Litoměřice
518 01,Bílý Újezd,Rychnov nad Kněžnou
334 01,Biřkov,Klatovy
338 08,Sebečice,Rokycany
664 91,Biskoupky,Brno-venkov
569 43,Biskupice,Svitavy
538 43,Biskupice,Chrudim
675 57,Biskupice-Pulkov,Třebíč
798 12,Biskupice,Prostějov
763 41,Biskupice,Zlín
393 01,Pelhřimov,Pelhřimov
513 01,Semily,Semily
512 63,Veselá,Semily
294 01,Bítouchov,Mladá Boleslav
391 55,Radenín,Tábor
266 01,Koněprusy,Beroun
743 01,Bítov,Nový Jičín
330 23,Přehýšov,Plzeň-sever
675 26,Želetava,Třebíč
538 51,Bítovany,Chrudim
538 51,Bítovany,Chrudim
671 07,Bítov,Znojmo
671 10,Bítov,Znojmo
588 22,Bítovčice,Jihlava
440 01,Bitozeves,Louny
438 01,Bitozeves,Louny
594 55,Kuřimské Jestřabí,Brno-venkov
274 01,Slaný,Kladno
349 01,Erpužice,Tachov
400 02,Homole u Panny,Ústí nad Labem
264 01,Vysoký Chlumec,Příbram
430 01,Místo,Chomutov
741 01,Jeseník nad Odrou,Nový Jičín
389 01,Bavorov,Strakonice
391 43,Mladá Vožice,Tábor
391 43,Rodná,Tábor
