,hodnota,uzemi_kod,uzemi_txt,latitude,longitude
7953,6971,557676,Dobřany,49.654152,13.294544
9534,7611,564095,Hrádek nad Nisou,50.849864,14.844914
18579,7159,599247,Bílovec,49.757654,18.015665
4830,5310,544485,Hluboká nad Vltavou,49.054209,14.452759
12636,9276,575500,Přelouč,50.038484,15.555451
