,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost
386,CZ0715,553387.0,Hraběšice,180.0,49.9766327,17.0795179,130002445,Šumperk,49.97303,16.978006,7.27038694436896
1153,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,601756,Uničov,49.767152,17.121444,26.42610205919127
1159,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,601730,Uničov,49.77055,17.119499,26.076580838540565
1160,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,848875,Litovel,49.702046,17.073942,29.50985962336633
1162,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,601772,Litovel,49.701796,17.080931,29.821621974974782
1176,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,102692254,Mohelnice,49.774235,16.917775,17.15421593919174
1177,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,102692165,Zábřeh,49.880932,16.876928,5.111644504073938
1178,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,102692181,Šumperk,49.962258,16.977611,10.96767582347982
1179,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,102692190,Šumperk,49.966302,16.979562,11.291644936767758
1180,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,102692220,Šumperk,49.972886,16.964178,10.708266888885467
1181,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,102692262,Šumperk,49.970176,16.976002,11.27238297877577
1182,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,107881004,Zábřeh,49.88341,16.889105,5.412149942463848
1189,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,110010221,Šumperk,49.964818,16.972643,10.776221877101346
1191,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,130002445,Šumperk,49.97303,16.978006,11.555751859797892
1209,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,401030,Moravská Třebová,49.758413,16.659421,22.108191192714433
1215,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,49314670,Česká Třebová,49.904404,16.443924,28.354460209673242
1216,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,49314653,Lanškroun,49.91246,16.610637,16.38403305374768
1222,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,87670,Lanškroun,49.923108,16.612209,16.25235982336422
1223,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,110032110,Česká Třebová,49.904287,16.44091,28.57070407110822
1225,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,49314912,Letohrad,50.038273,16.490096,28.216551015150078
1231,CZ0715,541125.0,Svébohov,420.0,49.9199422,16.8391713,250000016,Moravská Třebová,49.752767,16.673615,22.05739510369297
1727,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,102807655,Vyškov,49.278737,16.996375,18.683432143048393
1729,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,107871173,Vyškov,49.28626,17.002315,17.77596798363855
1949,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,103019715,Prostějov,49.473869,17.118552,8.699599540225448
1950,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,103031642,Prostějov,49.471651,17.107419,8.858736120376527
1951,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,103019731,Prostějov,49.474514,17.110269,9.034095773626644
1952,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,47921838,Prostějov,49.474921,17.110188,9.076680607523217
1953,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,110012216,Prostějov,49.467909,17.11623,8.183187454313885
1954,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,601799,Olomouc,49.602377,17.238502,22.708554423432023
1955,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,848956,Olomouc,49.578484,17.23574,20.076345977872407
1956,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,601781,Olomouc,49.595207,17.262989,22.397652046405366
1959,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,110300572,Olomouc,49.610705,17.261093,24.00866764080732
1961,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,601748,Olomouc,49.594679,17.264321,22.37083251402444
1962,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,14585235,Olomouc,49.60505,17.280097,23.827652277570213
1963,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,61942839,Olomouc,49.590318,17.249762,21.60517072998389
1966,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,601721,Olomouc,49.5942,17.246044,21.952496426925975
1968,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,602035,Olomouc,49.608658,17.26321,23.832722721354838
1969,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,14451085,Olomouc,49.596205,17.262147,22.485394262343675
1970,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,18468012,Olomouc,49.612404,17.224986,23.613619062459527
1971,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,844012,Olomouc,49.589858,17.272323,22.048318165855182
1974,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,842885,Přerov,49.453139,17.446616,20.778413278293893
1975,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,842915,Přerov,49.450847,17.449299,20.899670417542023
1976,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,842818,Přerov,49.446329,17.452641,21.013828340150784
1978,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,842966,Přerov,49.45112,17.450248,20.973714626473576
1980,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,49558421,Kojetín,49.349929,17.301776,11.234760604533804
1991,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,150004451,Olomouc,49.598299,17.27078,22.898650972073938
1992,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,110010167,Prostějov,49.47446,17.110847,9.008966268856753
1993,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,110030818,Olomouc,49.596365,17.245249,22.17141464576276
1997,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,110300602,Prostějov,49.468929,17.116801,8.264014150727728
1998,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,151035806,Olomouc,49.609506,17.265322,23.966597906354554
2379,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,102519943,Kroměříž,49.297147,17.390143,19.836747233387097
2380,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,102519978,Kroměříž,49.295327,17.407561,20.98051919993912
2381,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,102531099,Kroměříž,49.296247,17.393855,20.11279011646754
2382,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,102142262,Kroměříž,49.299787,17.391525,19.74482874259449
2385,CZ0713,589993.0,Skalka,268.0,49.4030863,17.1698079,102519986,Kroměříž,49.300648,17.379552,18.98841738008666
