obec,okres
Nelešovice,Přerov
Oldřichov,Přerov
Opatovice,Přerov
Oprostovice,Přerov
Osek nad Bečvou,Přerov
Paršovice,Přerov
Partutovice,Přerov
Pavlovice u Přerova,Přerov
Podolí,Přerov
Polkovice,Přerov
Polom,Přerov
Potštát,Přerov
Prosenice,Přerov
Provodovice,Přerov
Přestavlky,Přerov
Radíkov,Přerov
Radkova Lhota,Přerov
Radkovy,Přerov
Radotín,Přerov
Radslavice,Přerov
Radvanice,Přerov
Rakov,Přerov
Rokytnice,Přerov
Rouské,Přerov
Říkovice,Přerov
Skalička,Přerov
Sobíšky,Přerov
Soběchleby,Přerov
Stará Ves,Přerov
Střítež nad Ludinou,Přerov
Sušice,Přerov
Teplice nad Bečvou,Přerov
Tovačov,Přerov
Troubky,Přerov
Tučín,Přerov
Ústí,Přerov
Veselíčko,Přerov
Všechovice,Přerov
Zámrsky,Přerov
Žákovice,Přerov
Želatovice,Přerov
Šumperk,Šumperk
Bělá pod Pradědem,Jeseník
Bernartice,Jeseník
Bílá Voda,Jeseník
Bludov,Šumperk
Bohdíkov,Šumperk
Bohuslavice,Šumperk
Bohutín,Šumperk
Branná,Šumperk
Rohozec,Kutná Hora
Podveky,Kutná Hora
Benešov,Benešov
Bystřice,Benešov
Čakov,Benešov
Čechtice,Benešov
Čerčany,Benešov
Čejkovice,Kutná Hora
Červený Újezd,Benešov
Český Šternberk,Benešov
Dobrovítov,Kutná Hora
Čtyřkoly,Benešov
Medonosy,Mělník
Tupadly,Mělník
Sedlec,Mladá Boleslav
Rokytá,Mladá Boleslav
Josefův Důl,Mladá Boleslav
Divišov,Benešov
Kostomlátky,Nymburk
Dolní Kralovice,Benešov
Pětihosty,Praha-východ
Těchařovice,Příbram
Bezděkov pod Třemšínem,Příbram
Koupě,Příbram
Velká Chmelištná,Rakovník
Heřmaničky,Benešov
Drahouš,Rakovník
Kvítkovice,České Budějovice
Hulice,Benešov
Hvězdonice,Benešov
Dívčí Kopy,Jindřichův Hradec
Žďár,Jindřichův Hradec
Chlum,Benešov
Chmelná,Benešov
Chocerady,Benešov
Chotýšany,Benešov
Čelistná,Pelhřimov
Mezná,Pelhřimov
Jankov,Benešov
Javorník,Benešov
Důl,Pelhřimov
Okrouhlá,Písek
Stehlovice,Písek
Nicov,Prachatice
Keblov,Benešov
Vrbice,Prachatice
Žárovná,Prachatice
Kondrac,Benešov
Kozmice,Benešov
Krhanice,Benešov
Buzice,Strakonice
Krňany,Benešov
Chlum,Strakonice
Křečovice,Benešov
Křivsoudov,Benešov
Březí,Strakonice
Kuňovice,Benešov
Stožice,Strakonice
Katov,Tábor
Lešany,Benešov
Libež,Benešov
Bukovník,Klatovy
Loket,Benešov
Louňovice pod Blaníkem,Benešov
Maršovice,Benešov
Dobršín,Klatovy
Přestavlky,Plzeň-jih
Milínov,Plzeň-jih
Mezno,Benešov
Miličín,Benešov
Miřetice,Benešov
Žákava,Plzeň-jih
Mnichovice,Benešov
Mrač,Benešov
Načeradec,Benešov
Hněvnice,Plzeň-sever
Bílov,Plzeň-sever
Potvorov,Plzeň-sever
Nespeky,Benešov
Sedlec,Plzeň-sever
Vysoká Libyně,Plzeň-sever
Netvořice,Benešov
Neustupov,Benešov
Neveklov,Benešov
Čerňovice,Plzeň-sever
Pláně,Plzeň-sever
Olbramovice,Benešov
Ostředek,Benešov
Kařízek,Rokycany
Drahoňův Újezd,Rokycany
Radvanec,Česká Lípa
Janská,Děčín
Petroupim,Benešov
Doubice,Děčín
Dalešice,Jablonec nad Nisou
Kunratice,Liberec
Poříčí nad Sázavou,Benešov
Postupice,Benešov
Dlouhý Most,Liberec
Pravonín,Benešov
Jeřmanice,Liberec
Přestavlky u Čerčan,Benešov
Miřejovice,Litoměřice
Psáře,Benešov
Rabyně,Benešov
Radošovice,Benešov
Rataje,Benešov
Kozly,Louny
Želkovice,Louny
Sedlec-Prčice,Příbram
Čeradice,Louny
Libočany,Louny
Zálužice,Louny
Smilkov,Benešov
Přestanov,Ústí nad Labem
Soběhrdy,Benešov
Hurtova Lhota,Havlíčkův Brod
Vysoká,Havlíčkův Brod
Ždírec,Havlíčkův Brod
Pšánky,Hradec Králové
Struhařov,Benešov
Úherčice,Chrudim
Střezimíř,Benešov
Studený,Benešov
Brníčko,Šumperk
Staré Hrady,Jičín
Bílkovice,Benešov
Tehov,Benešov
Teplýšovice,Benešov
Tichonice,Benešov
Říkov,Náchod
Trnávka,Pardubice
